rd_inv,milepost,caseno,accyr,rte_nbr,county,func_cls,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
405,7.24,2009000167,2009,405,17,11,01,01,06,6,4,2,2,4,03
005,149.16,2009000168,2009,005,17,11,01,02,27,1,4,1,1,4,01
162,2.06,2009000169,2009,162,27,16,01,01,06,7,2,1,2,6,03
108,8.43,2009000170,2009,108,23,06,01,08,34,1,4,5,2,4,02
099,41.15,2009000171,2009,099,31,14,01,01,02,1,6,2,2,1,02
020,32.34,2009000172,2009,020,15,14,01,01,07,7,1,1,2,4,03
509,23.97,2009000173,2009,509,17,14,01,15,02,1,6,1,1,1,02
006,19.3,2009000175,2009,006,25,06,01,02,34,1,4,6,4,6,01
005P125554,0.4,2009000176,2009,005,37,11,01,02,06,7,4,1,2,1,01
547,2.7,2009000177,2009,547,37,07,01,27,06,1,1,1,4,1,02
395,174.47,2009000178,2009,395,32,12,01,01,34,1,4,1,4,6,02
027,79.96,2009000179,2009,027,32,07,01,02,16,7,1,1,4,1,02
005,136.14,2009000180,2009,005,27,11,01,03,04,1,4,1,1,1,01
099,46.59,2009000181,2009,099,31,14,01,01,06,1,1,1,2,4,03
005Q124136,0.23,2009000182,2009,005,29,01,01,02,07,5,1,1,4,6,02
020,78.21,2009000183,2009,020,29,06,02,14,33,2,5,1,1,9,01
016,0.16,2009000184,2009,016,27,12,01,07,06,1,5,1,2,3,03
007,34.14,2009000185,2009,007,27,06,01,02,34,1,4,3,4,6,01
016,9.58,2009000186,2009,016,27,12,01,02,33,6,4,2,2,4,04
005,135.26,2009000187,2009,005,27,11,01,02,13,1,4,6,2,1,02
005,130.09,2009000188,2009,005,27,11,02,02,04,1,4,1,1,1,01
005,154.2,2009000189,2009,005,17,11,01,10,03,1,4,2,1,6,02
005,153.81,2009000190,2009,005,17,11,01,15,06,1,4,1,1,4,02
016,16.57,2009000191,2009,016,18,02,01,06,34,1,4,1,2,6,03
016,16.57,2009000192,2009,016,18,02,01,06,34,1,4,1,2,6,03
167,6.18,2009000193,2009,167,27,14,01,20,05,1,1,1,2,1,05
005LX16462,0,2009000195,2009,005,17,11,01,01,06,1,1,2,2,4,03
099LX03482,0,2009000196,2009,099,17,12,01,01,03,7,1,1,2,4,03
099,26.14,2009000197,2009,099,17,12,01,01,34,1,4,1,2,1,03
017,5.4,2009000198,2009,017,11,02,01,02,02,1,4,1,4,1,01
