rd_inv,milepost,caseno,rte_nbr,county,func_cls,accyr,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
527,10.39,2006029030,527,31,14,2006,08,19,02,1,1,1,1,1,01
099,46.01,2006029031,099,31,14,2006,08,19,06,7,5,1,1,1,01
002,22.53,2006029032,002,31,02,2006,08,20,06,1,4,1,1,1,01
538,0.41,2006029033,538,29,16,2006,08,15,02,1,1,1,1,1,01
020,31.86,2006029034,020,15,14,2006,08,15,12,1,6,1,1,1,01
012,334.87,2006029035,012,36,12,2006,08,18,12,1,1,1,1,1,01
125,5.4,2006029036,125,36,14,2006,08,19,06,1,1,1,1,1,01
002,227.97,2006029037,002,22,02,2006,08,20,32,1,4,1,1,6,01
007,54.35,2006029038,007,27,14,2006,08,15,03,7,3,1,1,1,01
007,55.35,2006029039,007,27,14,2006,08,16,07,7,6,1,1,1,01
082LX06693,0,2006029040,082,39,11,2006,08,18,03,7,5,1,1,4,01
405LX00096,0.15,2006029041,405,17,11,2006,08,19,12,7,1,1,1,1,01
528,0.06,2006029042,528,31,14,2006,08,18,06,6,1,1,1,1,01
005Q125236,0,2006029043,005,37,11,2006,08,19,02,1,1,1,1,4,01
169,1.67,2006029044,169,17,06,2006,08,19,07,1,1,1,1,1,01
522,7.3,2006029046,522,17,14,2006,08,18,,1,3,1,1,1,01
522,7.49,2006029047,522,17,14,2006,08,16,06,1,1,1,1,1,01
090LX03056,0.03,2006029048,090,17,01,2006,08,18,03,7,1,1,1,1,01
405LX02262,0.19,2006029049,405,17,11,2006,08,15,02,7,1,1,1,1,01
405CI00194,0.62,2006029050,405,17,11,2006,08,17,06,1,4,1,1,1,01
005,153.01,2006029051,005,17,11,2006,08,20,60,6,4,1,1,1,01
090,33.03,2006029052,090,17,01,2006,08,16,50,6,4,1,1,1,01
090,49.62,2006029053,090,17,01,2006,08,16,33,6,4,3,1,1,01
181,1.58,2006029054,181,17,14,2006,08,18,34,7,4,1,1,1,01
099,11.59,2006029055,099,17,14,2006,08,18,06,1,4,1,1,1,01
181,0.61,2006029056,181,17,14,2006,08,17,13,7,1,1,1,4,01
005,160.27,2006029057,005,17,11,2006,08,18,34,5,4,2,1,1,01
516,2.24,2006029058,516,17,12,2006,08,18,33,5,5,4,1,4,01
164,1.97,2006029059,164,17,16,2006,08,16,06,7,1,1,1,1,01
395,171.37,2006029060,395,32,14,2006,08,18,06,7,1,1,1,1,01
018,23.32,2006029061,018,17,02,2006,08,19,05,1,4,1,1,1,01
007,48.31,2006029062,007,27,14,2006,08,17,06,7,1,1,1,1,02
007,48.57,2006029063,007,27,14,2006,08,19,04,7,4,1,1,1,01
005,99.66,2006029064,005,34,11,2006,08,18,05,7,1,1,1,1,01
005,103.31,2006029065,005,34,11,2006,08,18,04,1,4,1,1,1,01
